Hour,SoC,Reward,Loss
0,0.5009001,-0.6685784,0.20214855715820296
1,0.54149187,-0.5369657,0.18149401301958917
2,0.5914919,-0.5077006,0.1773326081187362
3,0.61940026,-0.5776958,0.18754110004873129
4,0.58477116,-0.79711545,0.22515572997268085
5,0.58966875,-0.6546284,0.1998341118458651
6,0.59991765,-0.63643175,0.19681987818207158
7,0.54991764,-0.8553739,0.23652585986654764
8,0.58274245,-0.56167346,0.18513679892051318
9,0.54757565,-0.7991259,0.22553867425303026
10,0.5255553,-0.75054264,0.2164789617498898
11,0.48622897,-0.8147436,0.22853671062852388
12,0.5040833,-0.61090577,0.19269913810007022
13,0.4540833,-0.8553739,0.23652585986654764
14,0.4831038,-0.5740589,0.18699048030329926
15,0.44588184,-0.80682725,0.22701193775168144
16,0.41740558,-0.77425426,0.2208496834927887
17,0.4674056,-0.5077006,0.1773326081187362
18,0.42882946,-0.81191784,0.22799123938671298
19,0.38896272,-0.81678134,0.2289309088574779
20,0.43711454,-0.51341045,0.1781286046462477
21,0.48711452,-0.5077006,0.1773326081187362
22,0.5280467,-0.5358983,0.18133869042652467
23,0.5,-0.782151,0.2223269536075997
