Hour,SoC,Reward,Loss
0,0.45,-0.8553739,0.23652585986654764
1,0.40957093,-0.81890404,0.22934226449885534
2,0.35957095,-0.8553739,0.23652585986654764
3,0.30957094,-0.8553739,0.23652585986654764
4,0.35957095,-0.5077006,0.1773326081187362
5,0.3582304,-0.6764414,0.2034694219195783
6,0.368053,-0.6378729,0.19705649081437437
7,0.3994608,-0.566277,0.18582190712660293
8,0.39691404,-0.68068767,0.20418760240338224
9,0.44691405,-0.5077006,0.1773326081187362
10,0.42398578,-0.7538604,0.21708459947040584
11,0.41266486,-0.7118562,0.2095619705317473
12,0.37583742,-0.8053466,0.22672791095931016
13,0.3492846,-0.7671604,0.2195318006948505
14,0.3992846,-0.5077006,0.1773326081187362
15,0.3725265,-0.7679164,0.21967182943382305
16,0.40575296,-0.5603709,0.18494379190556615
17,0.4259695,-0.6030487,0.1914578357923809
18,0.4166465,-0.7047153,0.20831481588489956
19,0.3666465,-0.8553739,0.23652585986654764
20,0.3328593,-0.7939721,0.22455836190517858
21,0.3005258,-0.78855574,0.2235329887287557
22,0.25052583,-0.8553739,0.23652585986654764
23,0.5,-0.5733246,0.18687965923549932
