Hour,SoC,Loss,BESS_P_MW,PV,Wind,GridCost,PV_Curtail,VoltageDev,ESS_Cycle_Inc
0,0.5,0.056585031288138646,0.0,0.0,0.3,0.19855850307507694,0.0,0.0,0
1,0.5,0.056585031288138646,0.0,0.0,0.3,0.19855850307507694,0.0,0.0,0
2,0.5,0.07803746026805718,0.0,0.0,0.35,0.23285374583144858,0.0,0.015576270384573432,0
3,0.5,0.10330662163143228,0.0,0.0,0.4,0.26753066156027216,0.0,0.09420079226633715,0
4,0.5,0.13214333379900145,0.0,0.1,0.45,0.29256433174415974,0.0,0.20221937543218504,0
5,0.5,0.16466672225730705,0.0,0.3,0.5,0.30796666821186136,0.0,0.3213163199176551,0
6,0.5,0.2014641268200675,0.0,0.5,0.55,0.32379641268201453,0.0,0.4494462754118469,0
7,0.5,0.2423875837387303,0.0,0.8,0.6,0.33003875837385976,0.0,0.591161860411319,0
8,0.5,0.2883774530383274,0.0,1.0,0.65,0.34678774530379997,0.0,0.7408392990946712,0
9,0.5,0.3112593995541895,0.0,1.0,0.7,0.36265093995535835,0.0,0.809559279044958,0
10,0.5,0.2843761560729811,0.0,0.9,0.7,0.35138761560730813,0.0,0.7252990965980651,0
11,0.5,0.21563168333941585,0.0,0.7,0.65,0.31378816833392875,0.0,0.49432029075132444,0
12,0.5,0.1771987355154221,0.0,0.5,0.6,0.29779486801294297,0.0,0.3628536240191892,0
13,0.5,0.16152541646267976,0.0,0.3,0.55,0.30265253788422797,0.0,0.30814647793938377,0
14,0.5,0.185058607301972,0.0,0.2,0.5,0.3385808543864357,0.0,0.3925549804299573,0
15,0.5,0.25802596015110835,0.0,0.1,0.45,0.4166025960151387,0.0,0.6506226057324981,0
16,0.5,0.3460790731518892,0.0,0.0,0.4,0.49613290731514326,0.0,0.9257438467942896,0
17,0.5,0.3825041745810655,0.0,0.0,0.35,0.5233504174581469,0.0,1.0305639811574931,0
18,0.5,0.326968755384437,0.0,0.0,0.3,0.4856468755385208,0.0,0.873503410492931,0
19,0.5,0.22296751420775596,0.0,0.0,0.3,0.4009467514207188,0.0,0.5347429932382497,0
20,0.5,0.15984085536399417,0.0,0.0,0.3,0.33890908222983285,0.0,0.3074970658267385,0
21,0.5,0.12430280716022868,0.0,0.0,0.3,0.298205279500138,0.0,0.17451511459462554,0
22,0.5,0.09370728761677688,0.0,0.0,0.3,0.2579957283655574,0.0,0.062336410846959955,0
23,0.5,0.06782515717468202,0.0,0.0,0.3,0.2182575156073483,0.0,0.0006427484304082354,0
