,Hour,SoC,Reward,BESS_P_MW,PV,Wind,GridCost,PV_Curtail,VoltageDev,SoC_Dist
0,0,0.5019377234578133,-0.19786821,0.006459078192710877,0.0,0.3,0.1978682202936568,0.0,0.0,0.0
1,1,0.5040169727802277,-0.19781783,0.006930831074714661,0.0,0.3,0.197817832050589,0.0,0.0,0.0
2,2,0.5060993663221598,-0.33648804,0.006941311806440354,0.0,0.35,0.232102567387102,0.0,0.013048183183240414,0.0
3,3,0.5083451806008816,-0.9886456,0.007486047595739365,0.0,0.4,0.2667099240029813,0.0,0.09024196278715857,0.0
4,4,0.5107325643301011,-1.869988,0.00795794576406479,0.1,0.45,0.2916800908794528,0.0,0.19728848208313188,0.0
5,5,0.513232666105032,-2.834025,0.00833367258310318,0.3,0.5,0.3070277981533138,0.0,0.3158746442466609,0.0
6,6,0.5158102068305016,-3.8703425,0.008591802418231964,0.5,0.55,0.32281442045805875,0.0,0.44344100951404775,0.0
7,7,0.5184387079626323,-5.0060754,0.00876167044043541,0.8,0.6,0.3290223248920654,0.0,0.5846316586204837,0.0
8,8,0.5210580833256245,-6.21938,0.008731251209974289,1.0,0.65,0.3457587953962502,0.0,0.7342026093569218,0.0
9,9,0.5236733347922564,-6.7845807,0.008717504888772964,1.0,0.7,0.3616160300629474,0.0,0.8028705566062021,0.0
10,10,0.5263231735676528,-6.0991116,0.008832795917987824,0.9,0.7,0.3503484393763472,0.0,0.7185954061664023,0.0
11,11,0.5289883261919023,-4.2173066,0.008883842080831528,0.7,0.65,0.31276802328332565,0.0,0.48806729791236825,0.0
12,12,0.5316271319240333,-3.1533704,0.008796019107103347,0.5,0.6,0.29679949793288074,0.0,0.35707135665688017,0.0
13,13,0.5342406674474479,-2.7214012,0.008711785078048706,0.3,0.55,0.3016727310222791,0.0,0.30246606994351166,0.0
14,14,0.5368527498841287,-3.4321008,0.008706941455602647,0.2,0.5,0.3375918415302124,0.0,0.38681362602848657,0.0
15,15,0.5395281342417003,-5.5670896,0.008917947858572006,0.1,0.45,0.4155615503468937,0.0,0.6439409751443128,0.0
16,16,0.5423242499679328,-7.8431377,0.009320385754108429,0.0,0.4,0.49501252260171213,0.0,0.9185156716186078,0.0
17,17,0.5452029426395895,-8.706378,0.009595642238855362,0.0,0.35,0.5221836311013988,0.0,1.0230242920568529,0.0
18,18,0.5480965810269118,-7.413153,0.009645461291074754,0.0,0.3,0.4844939886987447,0.0,0.8660823973722183,0.0
19,19,0.5509465137124062,-4.621772,0.009499775618314743,0.0,0.3,0.39985093453407217,0.0,0.5277400832605654,0.0
20,20,0.5536859324574471,-2.7503443,0.009131395816802978,0.0,0.3,0.3378813871483999,0.0,0.30155786284958874,0.0
21,21,0.5563011537492276,-1.6515082,0.008717404305934906,0.0,0.3,0.29723932437426015,0.0,0.1692836055540623,0.0
22,22,0.5588133283704521,-0.72676367,0.008373915404081346,0.0,0.3,0.257081599050224,0.0,0.05871026101780341,0.0
23,23,0.5612052146345379,-0.21739957,0.007972954213619233,0.0,0.3,0.2173995688435184,0.0,0.0,0.0
