Hour,SoC,Reward,Loss,BESS_P_MW,PV,Wind,GridCost,PV_Curtail,VoltageDev,SoC_Dist
0,0.5047975201904774,-0.17337097,0.04360150974197167,0.015991733968257905,0.0,0.3,0.1733709772258294,0.0,0.0,0.0
1,0.5086999787390233,-0.17371528,0.04378839434928088,0.013008195161819459,0.0,0.3,0.17371528550458493,0.0,0.0,0.0
2,0.5126089827716351,-0.20378356,0.060413319811514175,0.01303001344203949,0.0,0.35,0.2037835549308511,0.0,0.0,0.0
3,0.5168818213045598,-0.37851283,0.0798824922636401,0.014242795109748841,0.0,0.4,0.23404396905365843,0.0,0.01805860589903263,0.0
4,0.5215422475337983,-0.9449131,0.10199192991000253,0.015534754097461701,0.1,0.45,0.25456071649389855,0.0,0.08629404431139409,0.0
5,0.526845328360796,-1.682585,0.12673274041652738,0.017676936089992525,0.3,0.5,0.2652555784501658,0.0,0.1771661733114659,0.0
6,0.53295744612813,-2.514237,0.1545766391463211,0.020373725891113283,0.5,0.55,0.27620528751330653,0.0,0.27975396630408234,0.0
7,0.5398307086527349,-3.3720589,0.1854471183694723,0.022910875082015992,0.8,0.6,0.27747361694682127,0.0,0.38682314241854776,0.0
8,0.5474928767979146,-4.321473,0.22001777224595728,0.025540560483932495,1.0,0.65,0.28910272045658303,0.0,0.5040463218409186,0.0
9,0.5557544390857221,-4.781444,0.23687208106818586,0.027538540959358218,1.0,0.7,0.30230585326356163,0.0,0.5598922801920796,0.0
10,0.5642216490209104,-4.1981063,0.21627543437041036,0.028224033117294312,0.9,0.7,0.2934601394056813,0.0,0.48808079472211563,0.0
11,0.5724047602713109,-2.7327137,0.16413013876977925,0.027277037501335144,0.7,0.65,0.26318780531696007,0.0,0.3086907333485397,0.0
12,0.5797501152753831,-1.895368,0.13520214608205416,0.024484516680240632,0.5,0.6,0.2521392604526227,0.0,0.20540358263801706,0.0
13,0.5864131028950216,-1.5654889,0.12361831001189227,0.022209958732128145,0.3,0.55,0.25949083326327127,0.0,0.16324976203496477,0.0
14,0.5925843803584577,-2.1763973,0.14221560752160178,0.020570924878120424,0.2,0.5,0.293231965440242,0.0,0.23539567600270694,0.0
15,0.5988944049179555,-3.8730505,0.198823382089935,0.021033415198326112,0.1,0.45,0.3639989960248897,0.0,0.4386314192393298,0.0
16,0.605827280431986,-5.849738,0.26673127084434645,0.02310958504676819,0.0,0.4,0.4357346678324916,0.0,0.6767504160841025,0.0
17,0.6133517001569272,-6.6087456,0.2947866335438321,0.025081399083137515,0.0,0.35,0.460060522671057,0.0,0.7685856426275183,0.0
18,0.6211303780972959,-5.487065,0.2523908098935638,0.02592892646789551,0.0,0.3,0.4273011876229589,0.0,0.6324704294110352,0.0
19,0.6284884610772135,-3.1315613,0.17227901941100618,0.024526943266391755,0.0,0.3,0.35256020251958375,0.0,0.34737512998019104,0.0
20,0.6348664098978044,-1.6429033,0.12367024389561011,0.02125982940196991,0.0,0.3,0.29787353972398023,0.0,0.16812871940926322,0.0
21,0.6404823037981988,-0.8045854,0.09624797646089936,0.01871964633464813,0.0,0.3,0.2619503320986496,0.0,0.06782938182700482,0.0
22,0.6455952942371369,-0.24679887,0.07251764782993586,0.017043301463127138,0.0,0.3,0.2263099340770225,0.0,0.002561118205040347,0.0
23,0.6502533869445325,-0.19101563,0.052408328228371916,0.015526975691318513,0.0,0.3,0.19101563485392603,0.0,0.0,0.0
