Hour,SoC,PV,Load,Reward
0,0.52753663,0,0.55,-0.05420234
1,0.53692335,0,0.5,-0.07580461
2,0.5305047,0,0.5,-0.09072892
3,0.5062781,0.05,0.55,-0.11259557
4,0.46104965,0.15,0.7,-0.1506327
5,0.4910891,0.35,0.9,-0.039222986
6,0.497391,0.55,1.2,-0.07356901
7,0.535477,0.75,1.5,-0.047466416
8,0.5544472,0.9,1.6,-0.09493409
9,0.5909997,0.95,1.4,-0.06837117
10,0.56446815,1,1.3,-0.12019097
11,0.540325,0.95,1.2,-0.08927974
12,0.490325,0.85,1.1,-0.114435
13,0.47831583,0.65,1,-0.05985057
14,0.47544298,0.4,1.2,-0.06172069
15,0.4512925,0.2,1.5,-0.1659672
16,0.49476606,0.05,1.8,-0.13083647
17,0.54476607,0,2,-0.19645321
18,0.5947661,0,2.2,-0.24395321
19,0.64476603,0,2,-0.28395322
20,0.69476604,0,1.5,-0.2757114
21,0.7206007,0,1,-0.23036812
22,0.77060074,0,0.8,-0.12912014
23,0.5,0,0.6,-0.18398376
