Hour,LoadFactor,PV,Wind,GridCost,Loss,VoltageDev,PV_Curtail
0,0.6,0.0,0.3,0.19855850307507694,0.056585031288138646,0.046124026779405525,0.0
1,0.6,0.0,0.3,0.19855850307507694,0.056585031288138646,0.046124026779405525,0.0
2,0.7,0.0,0.35,0.23285374583144858,0.07803746026805718,0.05420430539576693,0.0
3,0.8,0.0,0.4,0.26753066156027216,0.10330662163143228,0.062410733296912047,0.0
4,0.9,0.1,0.45,0.29256433174415974,0.13214333379900145,0.07068711328701127,0.0
5,1.0,0.3,0.5,0.30796666821186136,0.16466672225730705,0.0790381906547174,0.0
6,1.1,0.5,0.55,0.32379641268201453,0.2014641268200675,0.08753275192847743,0.0
7,1.2,0.8,0.6,0.33003875837385976,0.2423875837387303,0.09611421456218172,0.0
8,1.3,1.0,0.65,0.34678774530379997,0.2883774530383274,0.10491875876400747,0.0
9,1.35,1.0,0.7,0.36265093995550046,0.3112593995542958,0.10904836255397887,0.0
10,1.3,0.9,0.7,0.35138761560730813,0.2843761560729811,0.10418934085664922,0.0
11,1.15,0.7,0.65,0.31378816833392875,0.21563168333941585,0.09060908130961587,0.0
12,1.05,0.5,0.6,0.29779486801294297,0.1771987355154221,0.08205781095142872,0.0
13,1.0,0.3,0.55,0.30265253788422797,0.16152541646267976,0.07827923767948342,0.0
14,1.05,0.2,0.5,0.3385808543864357,0.185058607301972,0.08377657199644017,0.0
15,1.2,0.1,0.45,0.4166025960151387,0.25802596015110835,0.09892217514333934,0.0
16,1.35,0.0,0.4,0.49613290731514326,0.3460790731518892,0.11454651556669793,0.0
17,1.4,0.0,0.35,0.5233504174581469,0.3825041745810655,0.12039528135571731,0.0
18,1.3,0.0,0.3,0.4856468755385208,0.326968755384437,0.11118664538422163,0.0
19,1.1,0.0,0.3,0.4009467514207188,0.22296751420775596,0.091728870033981,0.0
20,0.95,0.0,0.3,0.33890908222983285,0.15984085536399417,0.07762101769726748,0.0
21,0.85,0.0,0.3,0.298205279500138,0.12430280716022868,0.06842785941353113,0.0
22,0.75,0.0,0.3,0.2579957283655574,0.09370728761677688,0.05939391955010198,0.0
23,0.65,0.0,0.3,0.2182575156073483,0.06782515717468202,0.05051110600995523,0.0
