Hour,SoC,Reward,Loss,P_ESS,PV,PV_raw,Wind,GridCost,PV_Curtail,VoltageDev,SoC_Violation,ESS_DegProxy,DR_Usage
0,0.5362384915351868,-0.6860546469688416,0.057266070735618346,-0.0076291561126708984,0.0,0.0,0.3,0.19964465557706035,0.0,0.04675276469459477,0.0,0.03623849153518677,0.0038153573870658877
1,0.5730738751590252,-0.6864318251609802,0.057272381970544274,-0.007754817605018616,0.0,0.0,0.3,0.19965341363194966,0.0,0.04676109448507082,0.0,0.03683538362383842,0.0037489715963602067
2,0.6104647442698479,-0.8021485209465027,0.07889531150838155,-0.007871761918067932,0.0,0.0,0.35,0.2340177756442472,0.0,0.0548689111135332,0.0,0.03739086911082268,0.0037309300154447556
3,0.652426771260798,-0.9225212335586548,0.1044727554562512,-0.008834110945463181,0.0,0.0,0.4,0.26890568665132264,0.0,0.06317933465347858,0.0,0.041962026990950106,0.0042059291154146194
4,0.6988688863813877,-1.0340882539749146,0.1336796657606903,-0.009777287393808365,0.09966783756390214,0.1,0.45,0.2941965314257402,0.0003321624360978631,0.07156386426945482,0.0,0.046442115120589725,0.0046619966626167296
5,0.7515203673392534,-1.1384793519973755,0.166677005764417,-0.011084522306919099,0.2980216948315501,0.3,0.5,0.3100262237593654,0.0019783051684498787,0.08005428247996205,0.0,0.05265148095786572,0.004955088719725609
6,0.8118281200528145,-1.2466331720352173,0.20406001558035347,-0.012696368992328644,0.4940762044861913,0.5,0.55,0.3265392781394212,0.005923795513808727,0.0887149379468899,0.0,0.06030775271356105,0.005067581310868263
7,0.8792484015226364,-1.347139835357666,0.24564075712707104,-0.014193743467330933,0.7866782277822495,0.8,0.6,0.3338027611940504,0.01332177221775055,0.09746028161557274,0.0,0.06742028146982192,0.005137833952903748
8,0.9543378580361604,-1.5702543258666992,0.29237154474570903,-0.015808306634426117,0.977101270109415,1.0,0.65,0.35178178485116973,0.022898729890584946,0.10643831278747973,0.054337858036160425,0.07508945651352406,0.004996560886502266
9,0.9543378580361604,-1.5764871835708618,0.3124884854065416,0.0,0.9734275247901678,1.0,0.7,0.3661822114036397,0.02657247520983219,0.10926590368696343,0.054337858036160425,0.0,0.004992209374904633
10,0.9543378580361604,-1.5157792568206787,0.28553649436446493,0.0,0.8755496196448803,0.9,0.7,0.3546994089292639,0.024450380355119705,0.10440326832637381,0.054337858036160425,0.0,0.005181498825550079
11,0.9543378580361604,-1.339088797569275,0.21649254120840428,0.0,0.6826448798179626,0.7,0.65,0.3162721248277478,0.01735512018203733,0.09079007846164566,0.054337858036160425,0.0,0.005167914554476738
12,0.9543378580361604,-1.2339972257614136,0.17785395878946325,0.0,0.4904671488329768,0.5,0.6,0.2993890840177471,0.009532851167023182,0.08220891865942803,0.054337858036160425,0.0,0.004917076975107193
13,0.9543378580361604,-1.1986843347549438,0.16209392510860665,0.0,0.29592512072995303,0.3,0.55,0.30365518790756596,0.0040748792700469605,0.07841649896824565,0.054337858036160425,0.0,0.004830069839954376
14,0.9543378580361604,-1.288803219795227,0.18570809760387963,0.0,0.1982884293422103,0.2,0.5,0.33939359638779365,0.0017115706577897072,0.08392349123257226,0.054337858036160425,0.0,0.004927565157413483
15,0.9543378580361604,-1.5184996128082275,0.2589890112039906,0.0,0.09928230424411595,0.1,0.45,0.4174784961971625,0.0007176957558840541,0.09910716277616027,0.054337858036160425,0.0,0.0052925489842891695
16,0.9543378580361604,-1.7550028562545776,0.3475556645037881,0.0,0.0,0.0,0.4,0.49719285923103484,0.0,0.11479215665986231,0.054337858036160425,0.0,0.006063458323478699
17,0.9543378580361604,-1.8414713144302368,0.3843304034236107,0.0,0.0,0.0,0.35,0.5245933303838797,0.0,0.12068431520197531,0.054337858036160425,0.0,0.006795424222946167
18,0.9543378580361604,-1.711463212966919,0.3285526467689895,0.0,0.0,0.0,0.3,0.4868176188484199,0.0,0.11145723979960265,0.054337858036160425,0.0,0.0069872945547103885
19,0.9543378580361604,-1.431220531463623,0.22397508225764495,0.0,0.0,0.0,0.3,0.4018569373754417,0.0,0.09193674042327815,0.054337858036160425,0.0,0.006602464616298676
20,0.9543378580361604,-1.2271584272384644,0.16046987267501223,0.0,0.0,0.0,0.3,0.3395847781802104,0.0,0.07777404362507967,0.054337858036160425,0.0,0.005787766724824906
21,0.9543378580361604,-1.0939122438430786,0.12473611182582753,0.0,0.0,0.0,0.3,0.2987355301494574,0.0,0.06854730472817672,0.054337858036160425,0.0,0.005139948800206184
22,0.9543378580361604,-0.9629164338111877,0.09400524672120167,0.0,0.0,0.0,0.3,0.25841767165115925,0.0,0.059488477035383736,0.054337858036160425,0.0,0.0046914596110582355
23,0.9543378580361604,-0.8339431285858154,0.06801997407570459,0.0,0.0,0.0,0.3,0.21858346445671373,0.0,0.0505837867403951,0.054337858036160425,0.0,0.00423048846423626
