,Hour,SoC,Reward,BESS_P_MW,PV,Wind,GridCost,PV_Curtail,VoltageDev,SoC_Dist
0,0,0.5050539965927601,-0.1967596,0.01684665530920029,0.0,0.3,0.19675959798325948,0.0,0.0,0.0
1,1,0.5094765511155128,-0.19698408,0.014741848409175874,0.0,0.3,0.196984086087042,0.0,0.0,0.0
2,2,0.5139087285101414,-0.31476068,0.01477392464876175,0.0,0.35,0.23125596676007376,0.0,0.010438088189539174,0.0
3,3,0.5187743790447712,-0.95175326,0.01621883511543274,0.0,0.4,0.2657538174208014,0.0,0.08574992732203202,0.0
4,4,0.5241572377085686,-1.8194914,0.01794286221265793,0.1,0.45,0.2905723646137801,0.0,0.19111487194704957,0.0
5,5,0.5303818875551224,-2.7679393,0.02074883282184601,0.3,0.5,0.30563172151528306,0.0,0.30778845627160245,0.0
6,6,0.5377030830085278,-3.7803955,0.024403984844684604,0.5,0.55,0.32101127599608503,0.0,0.4324230367394958,0.0
7,7,0.5460391123592854,-4.8908453,0.027786764502525332,0.8,0.6,0.3268211166673325,0.0,0.5705030219660787,0.0
8,8,0.5555199120938779,-6.0782,0.03160266578197479,1.0,0.65,0.3430719047866546,0.0,0.7168909939264364,0.0
9,9,0.5657961414754391,-6.6255345,0.0342540979385376,1.0,0.7,0.35859486178154043,0.0,0.783367443300539,0.0
10,10,0.5762583087384701,-5.9386783,0.03487389087677002,0.9,0.7,0.34729525783129134,0.0,0.6989228938412982,0.0
11,11,0.5863678531348705,-4.075336,0.03369848132133484,0.7,0.65,0.30992753168345644,0.0,0.47067604829298937,0.0
12,12,0.5954648600518703,-3.0381527,0.03032335638999939,0.5,0.6,0.29437015414416123,0.0,0.3429728241582375,0.0
13,13,0.6036505828797817,-2.6252139,0.027285742759704593,0.3,0.55,0.29958884945108366,0.0,0.29070312793565034,0.0
14,14,0.6110901647806167,-3.3456516,0.02479860633611679,0.2,0.5,0.33576815298013685,0.0,0.3762354356917452,0.0
15,15,0.6185283206403255,-5.4703903,0.024793852865695954,0.1,0.45,0.41371270086659706,0.0,0.6320847067580511,0.0
16,16,0.6264126954972743,-7.736255,0.026281249523162842,0.0,0.4,0.4929791762514526,0.0,0.9054094757622697,0.0
17,17,0.6346317000687122,-8.5927515,0.02739668190479279,0.0,0.35,0.5200253076948513,0.0,1.0090907212472604,0.0
18,18,0.6430453766882419,-7.2981367,0.02804558873176575,0.0,0.3,0.4823009120875952,0.0,0.8519794658465545,0.0
19,19,0.6511233095824718,-4.517349,0.026926442980766296,0.0,0.3,0.39784581827680654,0.0,0.5149378397076135,0.0
20,20,0.6583535768091678,-2.6710002,0.024100890755653383,0.0,0.3,0.3362002677470457,0.0,0.29185001089297014,0.0
21,21,0.6648452517390251,-1.5895374,0.021638916432857515,0.0,0.3,0.2958102016976909,0.0,0.16171590431880767,0.0
22,22,0.6708173488080501,-0.6856439,0.019906990230083466,0.0,0.3,0.25582470506918753,0.0,0.05372740437541135,0.0
23,23,0.6762669269740581,-0.21630442,0.018165260553359985,0.0,0.3,0.21630442504516623,0.0,0.0,0.0
